MÊS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PRECO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PRECO MÍNIMO REVENDA,PRECO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PRECO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PRECO MÍNIMO DISTRIBUIÇÃO,PRECO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
Oct/09,GNV,1913,R$/m3,1.567,0.165,1.179,2.630,0.427,0.105,1.140,0.213,0.705,2.213,0.187
Nov/09,GNV,2237,R$/m3,1.577,0.173,1.189,2.579,0.435,0.110,1.142,0.216,0.699,2.213,0.189
Dec/09,GNV,2419,R$/m3,1.587,0.173,1.259,2.390,0.426,0.109,1.161,0.226,0.746,2.213,0.195
Jan/10,GNV,2125,R$/m3,1.579,0.175,1.198,2.390,0.423,0.111,1.156,0.220,0.746,2.142,0.190
Feb/10,GNV,2214,R$/m3,1.584,0.176,1.170,2.390,0.430,0.111,1.154,0.222,0.768,2.142,0.192
Mar/10,GNV,2817,R$/m3,1.595,0.175,1.197,2.400,0.432,0.110,1.163,0.211,0.633,2.160,0.181
Apr/10,GNV,2256,R$/m3,1.582,0.181,1.119,2.390,0.422,0.114,1.160,0.223,0.768,2.160,0.192
May/10,GNV,2353,R$/m3,1.608,0.162,1.259,2.339,0.425,0.101,1.183,0.206,0.709,2.160,0.174
Jun/10,GNV,2750,R$/m3,1.607,0.163,1.259,2.400,0.407,0.101,1.200,0.196,0.774,2.205,0.163
Jul/10,GNV,2227,R$/m3,1.607,0.163,1.159,2.369,0.400,0.101,1.207,0.185,0.771,2.220,0.153
Aug/10,GNV,2459,R$/m3,1.613,0.163,1.299,2.389,0.394,0.101,1.219,0.191,0.768,2.200,0.157
Sep/10,GNV,2296,R$/m3,1.611,0.161,1.299,2.389,0.392,0.100,1.219,0.180,0.749,2.200,0.148
Oct/10,GNV,2102,R$/m3,1.616,0.159,1.299,2.389,0.390,0.098,1.226,0.175,0.767,2.240,0.143
Nov/10,GNV,2568,R$/m3,1.618,0.157,1.299,2.389,0.382,0.097,1.236,0.183,0.768,2.240,0.148
Dec/10,GNV,2072,R$/m3,1.572,0.193,1.097,2.389,0.365,0.123,1.207,0.191,0.769,2.216,0.158
Jan/11,GNV,2237,R$/m3,1.552,0.217,1.099,2.389,0.379,0.140,1.173,0.210,0.751,2.212,0.179
Feb/11,GNV,1820,R$/m3,1.555,0.215,1.099,2.389,0.391,0.138,1.164,0.215,0.604,2.212,0.185
Mar/11,GNV,2570,R$/m3,1.566,0.229,1.049,2.389,0.383,0.146,1.183,0.203,0.653,2.212,0.172
Apr/11,GNV,1977,R$/m3,1.602,0.212,1.099,2.389,0.412,0.132,1.190,0.207,0.627,1.750,0.174
May/11,GNV,2419,R$/m3,1.627,0.198,1.099,2.389,0.427,0.122,1.200,0.200,0.620,1.891,0.167
Jun/11,GNV,2226,R$/m3,1.631,0.200,1.099,2.389,0.420,0.123,1.211,0.203,0.631,2.007,0.168
Jul/11,GNV,2079,R$/m3,1.618,0.204,1.099,2.409,0.399,0.126,1.219,0.201,0.631,2.006,0.165
Aug/11,GNV,2591,R$/m3,1.617,0.199,1.099,2.409,0.389,0.123,1.228,0.202,0.696,2.236,0.164
Sep/11,GNV,2192,R$/m3,1.611,0.202,1.099,2.409,0.400,0.125,1.211,0.195,0.709,2.006,0.161
Oct/11,GNV,2321,R$/m3,1.614,0.203,1.099,2.449,0.405,0.126,1.209,0.207,0.631,2.247,0.171
Nov/11,GNV,2335,R$/m3,1.610,0.203,1.099,2.310,0.395,0.126,1.215,0.202,0.631,2.080,0.166
Dec/11,GNV,2022,R$/m3,1.623,0.194,1.099,2.499,0.411,0.120,1.212,0.194,0.631,1.980,0.160
Jan/12,GNV,2398,R$/m3,1.632,0.181,1.189,2.549,0.403,0.111,1.229,0.182,0.663,1.760,0.148
Feb/12,GNV,2091,R$/m3,1.635,0.185,1.009,2.549,0.418,0.113,1.217,0.204,0.696,2.252,0.168
Mar/12,GNV,2020,R$/m3,1.634,0.185,1.199,2.369,0.406,0.113,1.228,0.167,0.696,1.708,0.136
Apr/12,GNV,2094,R$/m3,1.694,0.191,1.189,2.369,0.417,0.113,1.277,0.180,0.697,1.773,0.141
May/12,GNV,2559,R$/m3,1.711,0.197,1.190,2.369,0.423,0.115,1.288,0.185,0.697,1.822,0.144
Jun/12,GNV,2128,R$/m3,1.726,0.189,1.190,2.579,0.432,0.110,1.294,0.174,0.791,1.822,0.134
Jul/12,GNV,2460,R$/m3,1.734,0.187,1.290,2.579,0.430,0.108,1.304,0.173,0.768,1.911,0.133
Aug/12,GNV,2204,R$/m3,1.739,0.188,1.279,2.490,0.427,0.108,1.312,0.157,0.870,1.830,0.120
Sep/12,GNV,2049,R$/m3,1.740,0.184,1.349,2.399,0.392,0.106,1.348,0.160,0.786,1.878,0.119
Oct/12,GNV,2538,R$/m3,1.741,0.183,1.349,2.399,0.400,0.105,1.341,0.167,0.830,1.866,0.125
Nov/12,GNV,2078,R$/m3,1.742,0.184,1.319,2.399,0.401,0.106,1.341,0.160,0.878,1.918,0.119
Dec/12,GNV,2081,R$/m3,1.757,0.171,1.359,2.599,0.407,0.097,1.350,0.158,0.886,1.970,0.117
Jul/01,ÓLEO DIESEL,14011,R$/l,0.829,0.042,0.659,1.000,0.103,0.051,0.726,0.050,0.512,0.930,0.068
Aug/01,ÓLEO DIESEL,24726,R$/l,0.850,0.046,0.699,1.280,0.100,0.054,0.750,0.044,0.519,0.979,0.059
Sep/01,ÓLEO DIESEL,29217,R$/l,0.860,0.047,0.729,1.280,0.105,0.054,0.755,0.044,0.592,0.960,0.058
Oct/01,ÓLEO DIESEL,37296,R$/l,0.898,0.053,0.690,1.390,0.123,0.059,0.776,0.049,0.543,0.982,0.063
Nov/01,ÓLEO DIESEL,30633,R$/l,0.908,0.049,0.739,1.320,0.120,0.054,0.787,0.048,0.593,1.020,0.061
Dec/01,ÓLEO DIESEL,34126,R$/l,0.908,0.049,0.770,1.320,0.121,0.054,0.787,0.048,0.490,0.990,0.061
Jan/02,ÓLEO DIESEL,36644,R$/l,0.884,0.047,0.658,1.320,0.133,0.053,0.751,0.047,0.532,0.961,0.063
Feb/02,ÓLEO DIESEL,32373,R$/l,0.878,0.045,0.700,1.320,0.131,0.051,0.747,0.044,0.578,0.932,0.058
Mar/02,ÓLEO DIESEL,32492,R$/l,0.889,0.045,0.701,1.320,0.130,0.051,0.759,0.043,0.557,0.956,0.056
Apr/02,ÓLEO DIESEL,39991,R$/l,0.958,0.049,0.710,1.390,0.146,0.051,0.812,0.050,0.578,1.030,0.062
May/02,ÓLEO DIESEL,41764,R$/l,0.976,0.049,0.799,1.390,0.138,0.050,0.838,0.048,0.629,1.043,0.057
Jun/02,ÓLEO DIESEL,32784,R$/l,0.988,0.047,0.810,1.390,0.135,0.048,0.853,0.045,0.503,1.049,0.052
Jul/02,ÓLEO DIESEL,48633,R$/l,1.064,0.057,0.820,1.390,0.155,0.053,0.909,0.055,0.620,1.120,0.061
Aug/02,ÓLEO DIESEL,39510,R$/l,1.068,0.052,0.718,1.400,0.141,0.049,0.927,0.045,0.620,1.134,0.049
Sep/02,ÓLEO DIESEL,33774,R$/l,1.066,0.052,0.899,1.390,0.139,0.049,0.927,0.044,0.604,1.134,0.048
Oct/02,ÓLEO DIESEL,35062,R$/l,1.068,0.052,0.880,1.390,0.139,0.049,0.928,0.044,0.665,1.134,0.048
Nov/02,ÓLEO DIESEL,30469,R$/l,1.264,0.068,0.900,1.690,0.211,0.054,1.053,0.097,0.651,1.379,0.092
Dec/02,ÓLEO DIESEL,37539,R$/l,1.392,0.090,0.999,1.940,0.206,0.064,1.186,0.076,0.819,1.495,0.064
Jan/03,ÓLEO DIESEL,30766,R$/l,1.527,0.077,1.200,1.940,0.203,0.050,1.324,0.085,0.875,1.633,0.064
Feb/03,ÓLEO DIESEL,30340,R$/l,1.539,0.077,1.320,1.940,0.184,0.050,1.355,0.065,0.885,1.596,0.048
Mar/03,ÓLEO DIESEL,32998,R$/l,1.537,0.077,1.299,1.940,0.178,0.050,1.358,0.059,1.045,1.651,0.044
Apr/03,ÓLEO DIESEL,35327,R$/l,1.529,0.078,1.250,1.940,0.175,0.051,1.354,0.059,1.042,1.590,0.043
May/03,ÓLEO DIESEL,30443,R$/l,1.456,0.077,1.230,1.900,0.180,0.053,1.276,0.065,0.983,1.652,0.051
Jun/03,ÓLEO DIESEL,33842,R$/l,1.429,0.076,1.039,1.980,0.176,0.053,1.253,0.056,0.905,1.573,0.045
Jul/03,ÓLEO DIESEL,35091,R$/l,1.416,0.075,1.149,1.980,0.170,0.053,1.245,0.054,0.946,1.541,0.044
Aug/03,ÓLEO DIESEL,30058,R$/l,1.408,0.076,1.200,1.900,0.169,0.054,1.239,0.054,0.949,1.506,0.043
Sep/03,ÓLEO DIESEL,36411,R$/l,1.401,0.076,1.148,1.900,0.170,0.054,1.230,0.053,0.931,1.595,0.043
Oct/03,ÓLEO DIESEL,31463,R$/l,1.395,0.076,1.178,1.900,0.169,0.055,1.227,0.054,0.980,1.547,0.044
Nov/03,ÓLEO DIESEL,30109,R$/l,1.391,0.077,1.090,1.930,0.166,0.055,1.226,0.053,0.980,1.686,0.043
Dec/03,ÓLEO DIESEL,37474,R$/l,1.390,0.076,1.190,1.900,0.166,0.055,1.224,0.051,0.973,1.490,0.042
Jan/04,ÓLEO DIESEL,29928,R$/l,1.393,0.075,1.210,1.900,0.164,0.054,1.229,0.052,1.000,1.495,0.042
Feb/04,ÓLEO DIESEL,29915,R$/l,1.392,0.075,1.210,1.900,0.163,0.054,1.230,0.053,1.001,1.495,0.043
Mar/04,ÓLEO DIESEL,37335,R$/l,1.390,0.075,1.199,1.900,0.161,0.054,1.228,0.053,1.001,1.496,0.043
Apr/04,ÓLEO DIESEL,29930,R$/l,1.387,0.074,1.134,1.900,0.159,0.053,1.228,0.053,1.001,1.501,0.043
May/04,ÓLEO DIESEL,36726,R$/l,1.440,0.080,1.180,1.900,0.177,0.056,1.263,0.054,1.003,1.549,0.043
Jun/04,ÓLEO DIESEL,47940,R$/l,1.494,0.097,1.150,1.990,0.195,0.065,1.299,0.072,0.731,1.590,0.055
Jul/04,ÓLEO DIESEL,42470,R$/l,1.547,0.083,1.288,2.050,0.189,0.054,1.358,0.060,1.131,1.650,0.044
Aug/04,ÓLEO DIESEL,51366,R$/l,1.548,0.081,1.290,2.050,0.187,0.052,1.361,0.055,1.073,1.651,0.040
Sep/04,ÓLEO DIESEL,43842,R$/l,1.548,0.081,1.290,2.050,0.185,0.052,1.363,0.055,1.129,1.657,0.040
Oct/04,ÓLEO DIESEL,42214,R$/l,1.580,0.089,1.290,2.150,0.199,0.056,1.381,0.062,1.200,1.703,0.045
Nov/04,ÓLEO DIESEL,50184,R$/l,1.591,0.095,1.339,2.150,0.186,0.060,1.405,0.065,1.222,1.836,0.046
Dec/04,ÓLEO DIESEL,44164,R$/l,1.692,0.088,1.429,2.150,0.199,0.052,1.493,0.070,1.222,1.876,0.047
Jan/05,ÓLEO DIESEL,49264,R$/l,1.690,0.086,1.460,2.370,0.189,0.051,1.501,0.059,1.220,1.857,0.039
Feb/05,ÓLEO DIESEL,39403,R$/l,1.687,0.087,1.399,2.370,0.187,0.052,1.500,0.060,1.187,1.827,0.040
Mar/05,ÓLEO DIESEL,47745,R$/l,1.684,0.087,1.129,2.370,0.187,0.052,1.497,0.060,1.222,1.886,0.040
Apr/05,ÓLEO DIESEL,41885,R$/l,1.683,0.085,1.460,2.350,0.183,0.051,1.500,0.058,1.222,1.886,0.039
May/05,ÓLEO DIESEL,49831,R$/l,1.697,0.086,1.460,2.350,0.179,0.051,1.518,0.059,1.187,1.925,0.039
Jun/05,ÓLEO DIESEL,44191,R$/l,1.695,0.087,1.450,2.350,0.175,0.051,1.520,0.059,1.222,1.925,0.039
Jul/05,ÓLEO DIESEL,41705,R$/l,1.694,0.087,1.460,2.350,0.174,0.051,1.520,0.059,1.220,1.941,0.039
Aug/05,ÓLEO DIESEL,26947,R$/l,1.694,0.086,1.300,2.350,0.174,0.051,1.520,0.060,1.357,1.990,0.039
Sep/05,ÓLEO DIESEL,26797,R$/l,1.830,0.120,1.440,2.500,0.220,0.066,1.610,0.104,1.010,2.190,0.065
Oct/05,ÓLEO DIESEL,36406,R$/l,1.885,0.087,1.340,2.790,0.195,0.046,1.690,0.067,1.072,2.180,0.040
Nov/05,ÓLEO DIESEL,47139,R$/l,1.888,0.091,1.599,2.630,0.192,0.048,1.696,0.064,1.269,2.181,0.038
Dec/05,ÓLEO DIESEL,42071,R$/l,1.888,0.093,1.650,2.600,0.193,0.049,1.695,0.063,1.353,2.181,0.037
Jan/06,ÓLEO DIESEL,48593,R$/l,1.889,0.093,1.630,2.650,0.194,0.049,1.695,0.063,1.328,2.162,0.037
Feb/06,ÓLEO DIESEL,35831,R$/l,1.889,0.095,1.610,2.650,0.192,0.050,1.697,0.063,1.496,2.200,0.037
Mar/06,ÓLEO DIESEL,47633,R$/l,1.889,0.097,1.640,2.698,0.193,0.051,1.696,0.064,1.425,2.168,0.038
Apr/06,ÓLEO DIESEL,39552,R$/l,1.889,0.097,1.640,2.590,0.193,0.051,1.696,0.066,1.340,2.161,0.039
May/06,ÓLEO DIESEL,47372,R$/l,1.886,0.098,1.589,2.680,0.191,0.052,1.695,0.066,1.165,2.163,0.039
Jun/06,ÓLEO DIESEL,41082,R$/l,1.883,0.097,1.660,2.580,0.190,0.052,1.693,0.065,1.510,2.166,0.038
Jul/06,ÓLEO DIESEL,41567,R$/l,1.883,0.099,1.659,2.580,0.190,0.053,1.693,0.065,1.425,2.160,0.038
Aug/06,ÓLEO DIESEL,46192,R$/l,1.882,0.097,1.679,2.580,0.188,0.052,1.694,0.065,1.425,2.169,0.038
Sep/06,ÓLEO DIESEL,35684,R$/l,1.880,0.098,1.630,2.580,0.182,0.052,1.698,0.066,1.425,2.169,0.039
Oct/06,ÓLEO DIESEL,34528,R$/l,1.879,0.099,1.660,2.580,0.182,0.053,1.697,0.066,1.427,2.169,0.039
Nov/06,ÓLEO DIESEL,33711,R$/l,1.879,0.097,1.649,2.580,0.183,0.052,1.696,0.065,1.425,2.169,0.038
Dec/06,ÓLEO DIESEL,30233,R$/l,1.878,0.098,1.660,2.580,0.182,0.052,1.696,0.067,1.425,2.169,0.040
Jan/07,ÓLEO DIESEL,40045,R$/l,1.878,0.098,1.650,2.700,0.181,0.052,1.697,0.066,1.425,2.170,0.039
Feb/07,ÓLEO DIESEL,33628,R$/l,1.877,0.097,1.650,2.580,0.180,0.052,1.697,0.066,1.415,2.215,0.039
Mar/07,ÓLEO DIESEL,33835,R$/l,1.878,0.098,1.630,2.580,0.182,0.052,1.696,0.066,1.222,2.172,0.039
Apr/07,ÓLEO DIESEL,34732,R$/l,1.879,0.097,1.620,2.580,0.184,0.052,1.695,0.066,1.415,2.172,0.039
May/07,ÓLEO DIESEL,40734,R$/l,1.877,0.095,1.649,2.580,0.182,0.051,1.695,0.064,1.415,2.157,0.038
Jun/07,ÓLEO DIESEL,30949,R$/l,1.875,0.095,1.649,2.580,0.180,0.051,1.695,0.064,1.425,2.158,0.038
Jul/07,ÓLEO DIESEL,35057,R$/l,1.873,0.093,1.659,2.580,0.178,0.050,1.695,0.063,1.425,2.158,0.037
Aug/07,ÓLEO DIESEL,28489,R$/l,1.875,0.094,1.640,2.580,0.180,0.050,1.695,0.062,1.425,2.221,0.037
Sep/07,ÓLEO DIESEL,21320,R$/l,1.873,0.095,1.656,2.580,0.178,0.051,1.695,0.060,1.425,2.158,0.035
Oct/07,ÓLEO DIESEL,27815,R$/l,1.872,0.093,1.629,2.500,0.176,0.050,1.696,0.058,1.425,2.039,0.034
Nov/07,ÓLEO DIESEL,22113,R$/l,1.876,0.096,1.670,2.580,0.176,0.051,1.700,0.061,1.425,2.160,0.036
Dec/07,ÓLEO DIESEL,24777,R$/l,1.880,0.099,1.658,2.580,0.176,0.053,1.704,0.063,1.425,2.165,0.037
Jan/08,ÓLEO DIESEL,33019,R$/l,1.891,0.093,1.667,2.580,0.174,0.049,1.717,0.060,1.425,2.181,0.035
Feb/08,ÓLEO DIESEL,29865,R$/l,1.894,0.094,1.690,2.580,0.173,0.050,1.721,0.062,1.580,2.184,0.036
Mar/08,ÓLEO DIESEL,29945,R$/l,1.895,0.095,1.677,2.580,0.174,0.050,1.721,0.062,1.580,2.206,0.036
Apr/08,ÓLEO DIESEL,37337,R$/l,1.896,0.095,1.690,2.580,0.174,0.050,1.722,0.063,1.559,2.208,0.037
May/08,ÓLEO DIESEL,29709,R$/l,2.059,0.101,1.740,2.750,0.221,0.049,1.838,0.090,1.593,2.373,0.049
Jun/08,ÓLEO DIESEL,29860,R$/l,2.068,0.095,1.729,2.750,0.196,0.046,1.872,0.066,1.590,2.294,0.035
Jul/08,ÓLEO DIESEL,37275,R$/l,2.107,0.094,1.849,2.750,0.199,0.045,1.908,0.067,1.640,2.331,0.035
Aug/08,ÓLEO DIESEL,29743,R$/l,2.120,0.092,1.850,2.758,0.194,0.043,1.926,0.063,1.710,2.352,0.033
Sep/08,ÓLEO DIESEL,29865,R$/l,2.122,0.092,1.850,2.790,0.196,0.043,1.926,0.064,1.603,2.332,0.033
Oct/08,ÓLEO DIESEL,37320,R$/l,2.123,0.093,1.839,2.790,0.196,0.044,1.927,0.064,1.715,2.370,0.033
Nov/08,ÓLEO DIESEL,29945,R$/l,2.125,0.093,1.869,2.790,0.197,0.044,1.928,0.064,1.715,2.333,0.033
Dec/08,ÓLEO DIESEL,37354,R$/l,2.126,0.095,1.789,2.790,0.200,0.045,1.926,0.064,1.761,2.500,0.033
Jan/09,ÓLEO DIESEL,29693,R$/l,2.125,0.095,1.890,2.790,0.197,0.045,1.928,0.065,1.770,2.500,0.034
Feb/09,ÓLEO DIESEL,29652,R$/l,2.126,0.095,1.899,2.980,0.200,0.045,1.926,0.066,1.780,2.403,0.034
Mar/09,ÓLEO DIESEL,34806,R$/l,2.125,0.095,1.899,2.790,0.202,0.045,1.923,0.067,1.770,2.361,0.035
Apr/09,ÓLEO DIESEL,32146,R$/l,2.123,0.094,1.849,2.790,0.203,0.044,1.920,0.067,1.770,2.364,0.035
May/09,ÓLEO DIESEL,29821,R$/l,2.122,0.095,1.900,2.790,0.204,0.045,1.918,0.069,1.750,2.373,0.036
Jun/09,ÓLEO DIESEL,34408,R$/l,2.078,0.115,1.780,2.790,0.229,0.055,1.849,0.106,1.600,2.373,0.057
Jul/09,ÓLEO DIESEL,32999,R$/l,2.016,0.107,1.769,2.750,0.243,0.053,1.773,0.081,1.600,2.340,0.046
Aug/09,ÓLEO DIESEL,15526,R$/l,2.009,0.108,1.499,2.750,0.239,0.054,1.770,0.079,0.956,2.318,0.045
Sep/09,ÓLEO DIESEL,14919,R$/l,1.998,0.111,1.199,2.750,0.234,0.056,1.764,0.084,0.876,2.263,0.048
Oct/09,ÓLEO DIESEL,22354,R$/l,2.000,0.112,1.490,2.890,0.238,0.056,1.762,0.080,1.090,2.265,0.045
Nov/09,ÓLEO DIESEL,26935,R$/l,2.002,0.112,1.229,2.890,0.240,0.056,1.762,0.079,1.050,2.298,0.045
Dec/09,ÓLEO DIESEL,30393,R$/l,1.999,0.108,1.030,2.750,0.238,0.054,1.761,0.075,1.175,2.268,0.043
Jan/10,ÓLEO DIESEL,26486,R$/l,2.005,0.105,1.699,2.750,0.234,0.052,1.771,0.072,1.231,2.190,0.041
Feb/10,ÓLEO DIESEL,27870,R$/l,2.008,0.108,1.500,2.750,0.234,0.054,1.774,0.071,1.331,2.234,0.040
Mar/10,ÓLEO DIESEL,36314,R$/l,2.007,0.109,1.449,2.750,0.233,0.054,1.774,0.070,1.208,2.218,0.039
Apr/10,ÓLEO DIESEL,29421,R$/l,2.005,0.109,1.690,2.820,0.232,0.054,1.773,0.070,1.355,2.179,0.039
May/10,ÓLEO DIESEL,30691,R$/l,2.003,0.111,1.650,2.750,0.232,0.055,1.771,0.070,1.310,2.224,0.040
Jun/10,ÓLEO DIESEL,35460,R$/l,2.002,0.109,1.599,2.750,0.232,0.054,1.770,0.070,1.242,2.141,0.040
Jul/10,ÓLEO DIESEL,29483,R$/l,2.002,0.110,1.699,2.829,0.232,0.055,1.770,0.070,1.304,2.150,0.040
Aug/10,ÓLEO DIESEL,34884,R$/l,1.999,0.109,1.448,2.750,0.232,0.055,1.767,0.068,1.324,2.085,0.038
Sep/10,ÓLEO DIESEL,31537,R$/l,1.998,0.110,1.648,2.750,0.230,0.055,1.768,0.071,1.470,2.085,0.040
Oct/10,ÓLEO DIESEL,29592,R$/l,2.000,0.109,1.699,2.750,0.233,0.055,1.767,0.073,1.222,2.212,0.041
Nov/10,ÓLEO DIESEL,36262,R$/l,2.000,0.110,1.580,2.750,0.236,0.055,1.764,0.075,1.185,2.213,0.043
Dec/10,ÓLEO DIESEL,30196,R$/l,2.000,0.111,1.699,2.750,0.237,0.056,1.763,0.076,1.201,2.237,0.043
Jan/11,ÓLEO DIESEL,33045,R$/l,2.009,0.112,1.690,2.720,0.231,0.056,1.778,0.078,1.576,2.212,0.044
Feb/11,ÓLEO DIESEL,26021,R$/l,2.016,0.108,1.449,2.880,0.229,0.054,1.787,0.073,1.517,2.300,0.041
Mar/11,ÓLEO DIESEL,37149,R$/l,2.025,0.111,1.699,2.820,0.235,0.055,1.790,0.077,1.195,2.300,0.043
Apr/11,ÓLEO DIESEL,29725,R$/l,2.032,0.114,1.020,2.826,0.241,0.056,1.791,0.080,1.230,2.330,0.045
May/11,ÓLEO DIESEL,35021,R$/l,2.030,0.112,1.699,2.980,0.241,0.055,1.789,0.078,1.420,2.330,0.044
Jun/11,ÓLEO DIESEL,31996,R$/l,2.026,0.114,1.730,2.890,0.240,0.056,1.786,0.080,1.173,2.330,0.045
Jul/11,ÓLEO DIESEL,29864,R$/l,2.028,0.112,1.699,2.790,0.238,0.055,1.790,0.079,1.438,2.280,0.044
Aug/11,ÓLEO DIESEL,36762,R$/l,2.027,0.112,1.729,2.800,0.236,0.055,1.791,0.078,1.540,2.359,0.044
Sep/11,ÓLEO DIESEL,30239,R$/l,2.027,0.113,1.749,2.800,0.237,0.056,1.790,0.080,1.540,2.379,0.045
Oct/11,ÓLEO DIESEL,33252,R$/l,2.029,0.114,1.699,2.799,0.231,0.056,1.798,0.083,1.607,2.389,0.046
Nov/11,ÓLEO DIESEL,33404,R$/l,2.030,0.113,1.749,2.810,0.229,0.056,1.801,0.081,1.564,2.389,0.045
Dec/11,ÓLEO DIESEL,29780,R$/l,2.032,0.113,1.749,2.799,0.227,0.056,1.805,0.083,1.481,2.351,0.046
Jan/12,ÓLEO DIESEL,35300,R$/l,2.038,0.112,1.700,2.800,0.224,0.055,1.814,0.082,1.519,2.257,0.045
Feb/12,ÓLEO DIESEL,30884,R$/l,2.040,0.115,1.669,2.800,0.223,0.056,1.817,0.085,1.181,2.373,0.047
Mar/12,ÓLEO DIESEL,30022,R$/l,2.042,0.113,1.680,2.949,0.224,0.055,1.818,0.084,1.029,2.359,0.046
Apr/12,ÓLEO DIESEL,30078,R$/l,2.045,0.112,1.680,2.800,0.228,0.055,1.817,0.085,1.481,2.390,0.047
May/12,ÓLEO DIESEL,36387,R$/l,2.045,0.113,1.739,2.790,0.231,0.055,1.814,0.087,1.418,2.390,0.048
Jun/12,ÓLEO DIESEL,29404,R$/l,2.045,0.113,1.729,2.800,0.234,0.055,1.811,0.087,1.301,2.353,0.048
Jul/12,ÓLEO DIESEL,33338,R$/l,2.076,0.118,1.739,2.940,0.236,0.057,1.840,0.093,1.299,2.367,0.051
Aug/12,ÓLEO DIESEL,32239,R$/l,2.131,0.112,1.797,2.950,0.233,0.053,1.898,0.083,1.512,2.397,0.044
Sep/12,ÓLEO DIESEL,28844,R$/l,2.136,0.111,1.790,2.950,0.232,0.052,1.904,0.083,1.639,2.437,0.044
Oct/12,ÓLEO DIESEL,35122,R$/l,2.145,0.112,1.799,2.950,0.227,0.052,1.918,0.085,1.650,2.570,0.044
Nov/12,ÓLEO DIESEL,29152,R$/l,2.148,0.113,1.800,2.950,0.223,0.053,1.925,0.084,1.638,2.570,0.044
Dec/12,ÓLEO DIESEL,29334,R$/l,2.151,0.112,1.869,2.950,0.224,0.052,1.927,0.081,1.660,2.570,0.042
Dec/12,ÓLEO DIESEL S10,100,R$/l,2.226,0.070,2.039,2.399,0.241,0.031,1.985,0.029,1.939,2.112,0.015
