"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Nov 21","81,22","83,26","85,50","77,62","231,07K","-3,74%"
"Out 21","84,38","78,49","86,70","77,55","6,30M","7,46%"
"Set 21","78,52","71,68","80,75","70,42","5,09M","7,58%"
"Ago 21","72,99","75,39","75,39","64,60","5,51M","-4,38%"
"Jul 21","76,33","74,69","77,84","67,44","5,85M","1,60%"
"Jun 21","75,13","69,39","76,60","69,29","5,06M","8,38%"
"Mai 21","69,32","66,70","70,24","64,57","5,09M","3,08%"
"Abr 21","67,25","63,12","68,95","61,25","5,05M","5,84%"
"Mar 21","63,54","64,85","71,38","60,27","6,63M","-3,92%"
"Fev 21","66,13","54,91","67,70","54,60","5,09M","18,34%"
"Jan 21","55,88","51,50","57,42","50,56","5,27M","7,88%"
"Dez 20","51,80","47,79","52,48","46,82","4,51M","8,85%"
"Nov 20","47,59","37,37","49,09","35,74","5,04M","27,04%"
"Out 20","37,46","42,17","43,57","36,64","5,15M","-8,52%"
"Set 20","40,95","45,60","46,22","39,30","4,40M","-9,56%"
"Ago 20","45,28","43,53","46,53","42,89","3,61M","4,57%"
"Jul 20","43,30","41,58","44,89","41,03","4,03M","5,22%"
"Jun 20","41,15","37,56","43,93","37,01","4,28M","16,47%"
"Mai 20","35,33","26,95","36,98","25,50","3,80M","39,81%"
"Abr 20","25,27","25,99","36,40","15,98","6,45M","11,13%"
"Mar 20","22,74","48,95","53,90","21,65","7,36M","-54,99%"
"Fev 20","50,52","56,16","60,00","50,05","5,27M","-13,14%"
"Jan 20","58,16","66,41","71,75","57,71","5,80M","-11,88%"
"Dez 19","66,00","60,73","68,99","60,30","4,45M","5,72%"
"Nov 19","62,43","59,45","64,60","59,40","4,79M","3,65%"
"Out 19","60,23","59,38","62,34","56,15","5,61M","-0,90%"
"Set 19","60,78","58,80","71,95","57,23","5,63M","0,58%"
"Ago 19","60,43","64,09","64,54","55,88","5,98M","-7,27%"
"Jul 19","65,17","65,05","67,65","61,29","5,71M","-2,07%"
"Jun 19","66,55","61,64","66,85","59,45","5,70M","3,19%"
"Mai 19","64,49","71,73","73,40","64,37","6,13M","-11,41%"
"Abr 19","72,80","67,58","75,60","67,58","5,49M","6,45%"
"Mar 19","68,39","66,48","68,89","64,02","4,84M","3,57%"
"Fev 19","66,03","61,06","67,73","60,46","4,55M","6,69%"
"Jan 19","61,89","54,12","63,15","52,51","5,48M","15,04%"
"Dez 18","53,80","59,98","63,73","49,93","4,73M","-8,36%"
"Nov 18","58,71","74,69","74,99","57,50","6,26M","-22,21%"
"Out 18","75,47","82,79","86,74","75,09","6,90M","-8,76%"
"Set 18","82,72","77,69","82,87","75,64","4,69M","6,85%"
"Ago 18","77,42","74,07","78,03","70,30","4,73M","4,27%"
"Jul 18","74,25","78,55","79,51","71,19","5,56M","-6,53%"
"Jun 18","79,44","77,71","79,70","72,45","5,97M","2,38%"
"Mai 18","77,59","74,65","80,50","72,38","6,37M","3,22%"
"Abr 18","75,17","69,32","75,47","66,69","6,23M","6,97%"
"Mar 18","70,27","64,57","71,05","63,19","5,34M","6,83%"
"Fev 18","65,78","69,00","70,02","61,76","5,66M","-4,74%"
"Jan 18","69,05","66,55","71,28","66,24","5,48M","3,26%"
"Dez 17","66,87","62,74","67,10","61,13","4,86M","5,19%"
"Nov 17","63,57","61,07","64,65","60,00","6,25M","3,58%"
"Out 17","61,37","56,73","61,41","55,06","6,55M","6,66%"
"Set 17","57,54","52,84","59,49","51,99","5,05M","9,85%"
"Ago 17","52,38","52,70","53,64","50,00","6,33M","-0,51%"
"Jul 17","52,65","48,95","52,92","46,11","5,44M","9,87%"
"Jun 17","47,92","51,17","51,45","44,35","6,85M","-4,75%"
"Mai 17","50,31","51,88","54,67","46,64","7,34M","-2,75%"
"Abr 17","51,73","53,62","56,65","50,45","5,47M","-2,08%"
"Mar 17","52,83","56,45","57,05","49,71","6,24M","-4,96%"
"Fev 17","55,59","55,55","57,45","54,44","5,08M","-0,20%"
"Jan 17","55,70","57,05","58,37","53,58","5,55M","-1,97%"
"Dez 16","56,82","51,72","57,89","51,51","5,16M","12,58%"
"Nov 16","50,47","48,72","50,49","43,57","6,24M","4,49%"
"Out 16","48,30","50,02","53,73","47,98","5,41M","-1,55%"
"Set 16","49,06","46,98","50,14","45,09","5,44M","4,29%"
"Ago 16","47,04","43,11","51,22","41,51","5,62M","10,79%"
"Jul 16","42,46","49,90","50,75","41,80","4,89M","-14,53%"
"Jun 16","49,68","49,65","52,86","46,69","5,06M","-0,02%"
"Mai 16","49,69","47,37","50,51","43,33","5,50M","3,24%"
"Abr 16","48,13","40,14","48,50","37,27","5,67M","21,54%"
"Mar 16","39,60","36,60","42,54","35,95","5,29M","10,09%"
"Fev 16","35,97","35,85","37,00","29,92","6,11M","3,54%"
"Jan 16","34,74","37,85","38,99","27,10","5,13M","-6,81%"
"Dez 15","37,28","44,62","45,18","35,98","4,34M","-16,43%"
"Nov 15","44,61","49,50","50,91","43,15","4,64M","-9,99%"
"Out 15","49,56","48,40","54,05","46,41","4,60M","2,46%"
"Set 15","48,37","52,92","53,47","45,98","4,49M","-10,67%"
"Ago 15","54,15","51,55","54,32","42,23","5,04M","3,72%"
"Jul 15","52,21","63,02","63,35","51,63","4,72M","-17,90%"
"Jun 15","63,59","65,59","66,36","60,94","4,82M","-3,00%"
"Mai 15","65,56","66,78","69,63","61,24","4,28M","-1,83%"
"Abr 15","66,78","55,18","66,93","54,00","4,36M","21,18%"
"Mar 15","55,11","62,50","62,50","52,50","4,58M","-11,94%"
"Fev 15","62,58","52,68","63,00","51,41","5,13M","18,10%"
"Jan 15","52,99","58,02","58,54","45,19","5,06M","-7,57%"
"Dez 14","57,33","70,15","73,03","55,81","4,14M","-18,28%"
"Nov 14","70,15","85,85","86,40","69,78","4,42M","-18,30%"
"Out 14","85,86","94,77","96,23","82,60","4,87M","-9,31%"
"Set 14","94,67","102,95","103,30","94,24","3,92M","-8,26%"
"Ago 14","103,19","105,60","106,85","101,07","3,40M","-2,67%"
"Jul 14","106,02","112,50","112,83","104,39","4,16M","-5,64%"
"Jun 14","112,36","109,70","115,71","107,77","3,92M","2,70%"
"Mai 14","109,41","108,08","111,04","106,85","3,57M","1,24%"
"Abr 14","108,07","107,66","110,65","103,95","3,72M","0,29%"
"Mar 14","107,76","109,44","112,39","105,41","3,53M","-1,20%"
"Fev 14","109,07","106,40","110,82","105,40","3,28M","2,51%"
"Jan 14","106,40","111,00","111,35","105,44","3,92M","-3,97%"
"Dez 13","110,80","109,60","113,02","107,80","3,10M","1,01%"
"Nov 13","109,69","109,05","111,66","102,98","4,18M","0,78%"
"Out 13","108,84","108,38","112,00","106,27","4,40M","0,43%"
"Set 13","108,37","114,00","116,56","107,22","3,54M","-4,95%"
"Ago 13","114,01","107,81","117,34","105,85","4,05M","5,86%"
"Jul 13","107,70","101,90","109,72","101,63","4,01M","5,42%"
"Jun 13","102,16","100,15","106,67","99,66","3,89M","1,76%"
"Mai 13","100,39","101,82","105,94","98,76","4,31M","-1,93%"
"Abr 13","102,37","110,15","111,79","96,75","4,68M","-6,95%"
"Mar 13","110,02","110,90","112,23","106,80","3,71M","-1,22%"
"Fev 13","111,38","115,77","119,17","110,87","3,74M","-3,61%"
"Jan 13","115,55","111,50","115,76","109,45","3,83M","4,00%"
"Dez 12","111,11","110,96","112,33","106,63","2,73M","-0,11%"
"Nov 12","111,23","108,49","112,20","104,76","3,99M","2,33%"
"Out 12","108,70","112,34","116,20","106,80","4,26M","-3,28%"
"Set 12","112,39","114,70","117,95","107,10","3,76M","-1,90%"
"Ago 12","114,57","104,40","117,03","104,06","3,87M","9,20%"
"Jul 12","104,92","97,60","108,18","95,30","4,21M","7,28%"
"Jun 12","97,80","101,69","102,45","88,49","4,84M","-4,00%"
"Mai 12","101,87","119,28","120,02","101,27","4,54M","-14,73%"
"Abr 12","119,47","122,94","125,97","116,70","3,80M","-2,78%"
"Mar 12","122,88","123,00","128,40","120,97","3,79M","0,18%"
"Fev 12","122,66","111,30","125,55","111,02","3,83M","10,52%"
"Jan 12","110,98","108,35","115,12","108,35","3,76M","3,35%"
"Dez 11","107,38","110,75","111,62","102,37","2,68M","-2,84%"
"Nov 11","110,52","109,09","116,48","105,65","4,26M","0,88%"
"Out 11","109,56","102,00","114,80","99,11","4,03M","6,62%"
"Set 11","102,76","114,85","116,60","101,66","4,08M","-10,53%"
"Ago 11","114,85","117,00","120,40","98,74","4,95M","-1,62%"
"Jul 11","116,74","111,80","119,87","109,50","3,29M","3,79%"
"Jun 11","112,48","117,07","121,47","102,28","4,72M","-3,64%"
"Mai 11","116,73","126,10","126,54","105,15","4,61M","-7,28%"
"Abr 11","125,89","117,61","127,02","116,75","3,08M","7,27%"
"Mar 11","117,36","111,90","118,50","107,35","3,76M","4,97%"
"Fev 11","111,80","101,01","119,79","97,51","3,68M","10,68%"
"Jan 11","101,01","94,75","101,73","92,37","3,58M","6,61%"
"Dez 10","94,75","85,71","95,20","85,41","2,61M","10,28%"
"Nov 10","85,92","83,13","89,70","82,43","3,58M","3,33%"
"Out 10","83,15","82,21","86,02","80,75","3,50M","1,02%"
"Set 10","82,31","74,46","82,40","74,42","3,24M","10,28%"
"Ago 10","74,64","78,11","82,86","71,75","3,28M","-4,53%"
"Jul 10","78,18","74,65","78,31","70,77","2,92M","4,23%"
"Jun 10","75,01","74,82","79,86","70,50","3,38M","0,48%"
"Mai 10","74,65","87,44","89,58","68,15","3,47M","-14,63%"
"Abr 10","87,44","82,44","87,75","82,22","3,12M","5,73%"
"Mar 10","82,70","77,69","82,82","76,21","3,38M","6,59%"
"Fev 10","77,59","71,35","78,94","67,87","3,29M","8,58%"
"Jan 10","71,46","78,49","82,45","71,02","2,81M","-8,30%"
"Dez 09","77,93","78,42","79,91","71,02","2,46M","-0,69%"
"Nov 09","78,47","75,24","80,14","73,70","2,92M","4,35%"
"Out 09","75,20","68,92","80,26","65,90","2,94M","8,88%"
"Set 09","69,07","69,65","72,20","64,08","2,75M","-0,83%"
"Ago 09","69,65","71,98","76,00","68,85","2,15M","-2,86%"
"Jul 09","71,70","69,90","72,12","59,49","2,49M","3,46%"
"Jun 09","69,30","65,77","73,50","64,91","2,39M","5,77%"
"Mai 09","65,52","50,70","65,80","49,96","1,95M","28,98%"
"Abr 09","50,80","48,37","54,31","47,26","2,04M","3,19%"
"Mar 09","49,23","45,56","53,86","41,30","2,18M","6,21%"
"Fev 09","46,35","46,06","48,42","39,35","1,93M","1,02%"
"Jan 09","45,88","43,85","52,21","41,60","2,16M","0,64%"
"Dez 08","45,59","53,00","53,00","36,20","1,87M","-14,77%"
"Nov 08","53,49","64,30","67,76","47,40","2,12M","-18,11%"
"Out 08","65,32","99,45","100,31","59,02","2,39M","-33,46%"
"Set 08","98,17","115,50","115,56","88,90","2,35M","-13,92%"
"Ago 08","114,05","123,42","127,94","110,31","2,00M","-8,01%"
"Jul 08","123,98","140,44","147,50","120,88","2,14M","-11,34%"
"Jun 08","139,83","127,22","143,91","121,32","2,15M","9,43%"
"Mai 08","127,78","112,74","135,14","108,42","2,34M","14,74%"
"Abr 08","111,36","100,50","117,56","98,99","2,34M","11,03%"
"Mar 08","100,30","100,12","108,02","96,92","2,22M","0,20%"
"Fev 08","100,10","91,50","101,27","86,83","2,23M","8,56%"
"Jan 08","92,21","94,47","98,50","85,00","2,27M","-1,75%"
"Dez 07","93,85","88,74","95,87","86,56","1,56M","6,33%"
"Nov 07","88,26","90,94","96,65","87,55","2,22M","-2,62%"
"Out 07","90,63","79,25","91,18","75,64","2,11M","14,48%"
"Set 07","79,17","72,69","81,05","72,69","1,79M","8,91%"
"Ago 07","72,69","76,95","77,16","68,14","1,81M","-5,66%"
"Jul 07","77,05","71,22","78,40","70,92","1,59M","7,90%"
"Jun 07","71,41","68,15","72,25","67,61","1,72M","4,95%"
"Mai 07","68,04","67,53","71,80","63,80","2,03M","0,58%"
"Abr 07","67,65","67,91","69,59","64,76","1,49M","-0,66%"
"Mar 07","68,10","61,75","69,14","59,79","1,86M","10,03%"
"Fev 07","61,89","57,16","62,18","56,10","1,77M","7,82%"
"Jan 07","57,40","60,88","61,64","50,75","2,11M","-5,69%"
"Dez 06","60,86","63,80","64,92","60,04","1,16M","-5,29%"
"Nov 06","64,26","58,85","64,77","57,75","1,73M","8,86%"
"Out 06","59,03","62,70","62,82","57,39","1,85M","-5,52%"
"Set 06","62,48","70,42","70,66","59,32","1,51M","-11,06%"
"Ago 06","70,25","75,15","78,65","68,82","1,36M","-6,52%"
"Jul 06","75,15","73,26","78,18","72,11","1,56M","2,23%"
"Jun 06","73,51","70,25","73,69","66,33","1,54M","4,40%"
"Mai 06","70,41","71,98","74,97","67,63","1,56M","-2,24%"
"Abr 06","72,02","66,30","74,79","65,73","1,31M","9,27%"
"Mar 06","65,91","61,95","67,05","59,26","1,41M","6,72%"
"Fev 06","61,76","65,76","67,27","57,90","1,20M","-6,41%"
"Jan 06","65,99","59,35","67,32","59,08","1,38M","11,89%"
"Dez 05","58,98","55,00","60,40","54,63","1,07M","7,14%"
"Nov 05","55,05","58,07","60,65","53,75","1,17M","-5,25%"
"Out 05","58,10","63,63","63,96","57,05","1,18M","-8,48%"
"Set 05","63,48","66,70","67,88","61,00","1,26M","-5,28%"
"Ago 05","67,02","59,85","68,89","59,37","1,36M","12,89%"
"Jul 05","59,37","55,70","60,70","55,25","1,17M","6,82%"
"Jun 05","55,58","50,85","59,59","50,85","1,16M","9,56%"
"Mai 05","50,73","51,78","52,43","47,47","1,01M","-0,70%"
"Abr 05","51,09","54,52","57,65","50,35","760,12K","-5,89%"
"Mar 05","54,29","50,08","56,15","49,05","756,77K","8,45%"
"Fev 05","50,06","45,48","50,34","42,46","780,98K","9,02%"
"Jan 05","45,92","39,40","47,35","38,81","716,92K","13,49%"
"Dez 04","40,46","45,35","45,43","37,00","663,26K","-11,10%"
"Nov 04","45,51","49,20","49,60","40,05","844,44K","-7,08%"
"Out 04","48,98","46,20","51,94","45,80","867,97K","5,61%"
"Set 04","46,38","39,90","46,80","39,70","892,32K","17,09%"
"Ago 04","39,61","39,70","45,15","39,20","878,82K","-1,05%"
"Jul 04","40,03","34,25","40,05","34,18","860,67K","16,03%"
"Jun 04","34,50","37,15","39,12","33,08","1,02M","-5,69%"
"Mai 04","36,58","35,22","38,90","34,95","887,18K","6,09%"
"Abr 04","34,48","32,23","35,00","29,95","884,49K","9,43%"
"Mar 04","31,51","32,33","33,82","31,15","932,63K","-2,23%"
"Fev 04","32,23","29,00","32,35","28,44","820,49K","10,45%"
"Jan 04","29,18","29,57","32,12","28,81","890,47K","-3,28%"
"Dez 03","30,17","28,43","31,15","27,76","761,14K","6,05%"
"Nov 03","28,45","27,98","30,52","26,97","856,73K","2,71%"
"Out 03","27,70","27,58","31,50","26,75","901,09K","0,33%"
"Set 03","27,61","29,45","29,55","25,05","889,88K","-6,38%"
"Ago 03","29,49","28,45","30,59","28,02","752,34K","3,95%"
"Jul 03","28,37","28,20","29,60","27,21","847,02K","0,14%"
"Jun 03","28,33","26,70","28,52","25,80","806,24K","7,64%"
"Mai 03","26,32","24,00","27,01","23,34","824,02K","11,15%"
"Abr 03","23,68","27,56","27,56","23,05","780,43K","-12,88%"
"Mar 03","27,18","32,45","34,55","24,00","821,99K","-17,11%"
"Fev 03","32,79","30,89","33,94","30,10","765,23K","5,43%"
"Jan 03","31,10","29,30","31,80","27,85","837,76K","8,51%"
"Dez 02","28,66","25,35","31,02","25,12","675,64K","13,91%"
"Nov 02","25,16","25,77","26,05","22,56","874,18K","-2,18%"
"Out 02","25,72","28,85","29,39","25,05","810,23K","-10,54%"
"Set 02","28,75","27,40","29,88","26,45","678,86K","4,66%"
"Ago 02","27,47","25,35","27,92","24,65","698,02K","7,98%"
"Jul 02","25,44","25,50","26,66","24,65","751,45K","-0,55%"
"Jun 02","25,58","24,10","25,85","23,22","643,78K","4,62%"
"Mai 02","24,45","26,00","27,35","23,93","824,16K","-7,63%"
"Abr 02","26,47","26,36","28,15","23,81","817,43K","2,12%"
"Mar 02","25,92","21,35","25,95","21,20","695,11K","21,52%"
"Fev 02","21,33","19,36","21,71","18,80","714,26K","11,21%"
"Jan 02","19,18","19,46","22,40","18,23","705,66K","-3,62%"
"Dez 01","19,90","18,92","20,90","17,70","533,51K","3,97%"
"Nov 01","19,14","20,35","21,65","16,65","769,36K","-6,04%"
"Out 01","20,37","23,20","23,25","20,05","694,94K","-12,42%"
"Set 01","23,26","26,50","31,05","20,70","879,08K","-11,93%"
"Ago 01","26,41","25,09","26,79","24,50","610,23K","6,97%"
"Jul 01","24,69","26,30","26,90","23,97","647,02K","-5,33%"