"Data","Último","Abertura","Máxima","Mínima","Var%"
"Nov 21","5,5669","5,6240","5,6982","5,3889","-1,25%"
"Out 21","5,6372","5,4432","5,7547","5,3527","3,57%"
"Set 21","5,4428","5,1694","5,4767","5,1310","5,70%"
"Ago 21","5,1492","5,2158","5,4757","5,1101","-1,21%"
"Jul 21","5,2123","4,9705","5,3145","4,9467","4,90%"
"Jun 21","4,9686","5,2210","5,2212","4,8929","-4,77%"
"Mai 21","5,2172","5,4360","5,4843","5,1964","-4,04%"
"Abr 21","5,4366","5,6330","5,7562","5,3274","-3,46%"
"Mar 21","5,6315","5,5870","5,8787","5,4482","0,59%"
"Fev 21","5,5986","5,4663","5,6093","5,3042","2,49%"
"Jan 21","5,4625","5,1351","5,5166","5,1197","5,18%"
"Dez 20","5,1937","5,3158","5,3301","5,0100","-2,59%"
"Nov 20","5,3319","5,7430","5,7667","5,2235","-7,18%"
"Out 20","5,7446","5,6109","5,8084","5,4830","2,38%"
"Set 20","5,6112","5,4927","5,6786","5,2102","2,18%"
"Ago 20","5,4914","5,2223","5,6733","5,2115","5,12%"
"Jul 20","5,2240","5,4660","5,4763","5,0827","-4,43%"
"Jun 20","5,4661","5,3340","5,5082","4,8175","2,44%"
"Mai 20","5,3361","5,4861","5,9718","5,2691","-2,73%"
"Abr 20","5,4858","5,2252","5,7484","5,0487","5,40%"
"Mar 20","5,2046","4,4949","5,2550","4,4521","16,35%"
"Fev 20","4,4733","4,2816","4,5143","4,2086","4,47%"
"Jan 20","4,2820","4,0197","4,2905","4,0037","6,54%"
"Dez 19","4,0190","4,2362","4,2541","4,0083","-5,13%"
"Nov 19","4,2364","4,0173","4,2778","3,9692","5,45%"
"Out 19","4,0174","4,1564","4,1873","3,9637","-3,31%"
"Set 19","4,1551","4,1440","4,1948","4,0265","0,26%"
"Ago 19","4,1445","3,8154","4,1949","3,8107","8,71%"
"Jul 19","3,8125","3,8373","3,8812","3,7178","-1,02%"
"Jun 19","3,8518","3,9232","3,9344","3,8066","-1,78%"
"Mai 19","3,9218","3,9196","4,1221","3,9086","0,03%"
"Abr 19","3,9207","3,8897","4,0065","3,8147","-0,08%"
"Mar 19","3,9238","3,7510","4,0160","3,7381","4,60%"
"Fev 19","3,7511","3,6455","3,7956","3,6385","2,94%"
"Jan 19","3,6439","3,8793","3,8976","3,6363","-6,09%"
"Dez 18","3,8804","3,8669","3,9461","3,8149","0,37%"
"Nov 18","3,8662","3,7222","3,9448","3,6792","3,88%"
"Out 18","3,7218","4,0496","4,0637","3,5817","-8,05%"
"Set 18","4,0477","4,0921","4,2109","3,9669","-0,17%"
"Ago 18","4,0545","3,7566","4,2151","3,6902","7,96%"
"Jul 18","3,7557","3,8781","3,9533","3,6879","-3,12%"
"Jun 18","3,8765","3,7248","3,9678","3,6677","4,14%"
"Mai 18","3,7225","3,5075","3,7768","3,5072","6,16%"
"Abr 18","3,5066","3,3045","3,5159","3,2954","6,11%"
"Mar 18","3,3046","3,2462","3,3466","3,2057","1,81%"
"Fev 18","3,2458","3,1853","3,3189","3,1617","1,88%"
"Jan 18","3,1858","3,3135","3,3135","3,1198","-3,81%"
"Dez 17","3,3121","3,2727","3,3482","3,2199","1,21%"
"Nov 17","3,2726","3,2727","3,3354","3,2005","0,01%"
"Out 17","3,2724","3,1641","3,3031","3,1221","3,51%"
"Set 17","3,1614","3,1472","3,2004","3,0789","0,44%"
"Ago 17","3,1474","3,1270","3,2208","3,1074","0,69%"
"Jul 17","3,1259","3,3190","3,3310","3,1102","-5,46%"
"Jun 17","3,3063","3,2266","3,3498","3,2146","2,48%"
"Mai 17","3,2262","3,1748","3,4246","3,0873","1,59%"
"Abr 17","3,1758","3,1233","3,2146","3,0800","1,69%"
"Mar 17","3,1230","3,1095","3,1985","3,0596","0,46%"
"Fev 17","3,1086","3,1515","3,1634","3,0387","-1,34%"
"Jan 17","3,1507","3,2547","3,2926","3,1016","-3,15%"
"Dez 16","3,2532","3,3854","3,4927","3,2408","-3,83%"
"Nov 16","3,3827","3,1891","3,5080","3,1621","6,11%"
"Out 16","3,1878","3,2631","3,2640","3,1017","-2,18%"
"Set 16","3,2589","3,2262","3,3678","3,1649","1,00%"
"Ago 16","3,2266","3,2496","3,2927","3,1127","-0,63%"
"Jul 16","3,2471","3,2137","3,3712","3,1960","1,07%"
"Jun 16","3,2126","3,6095","3,6360","3,1824","-11,02%"
"Mai 16","3,6105","3,4364","3,6762","3,4337","5,10%"
"Abr 16","3,4352","3,5910","3,7191","3,4288","-4,38%"
"Mar 16","3,5925","4,0172","4,0225","3,5318","-10,54%"
"Fev 16","4,0156","3,9992","4,0785","3,8444","0,46%"
"Jan 16","3,9973","3,9608","4,1731","3,9590","0,96%"
"Dez 15","3,9593","3,8687","4,0419","3,7157","2,37%"
"Nov 15","3,8675","3,8562","3,9232","3,6929","0,29%"
"Out 15","3,8562","3,9509","4,0458","3,7232","-2,32%"
"Set 15","3,9478","3,6188","4,2487","3,6186","9,09%"
"Ago 15","3,6187","3,4227","3,6839","3,4206","5,80%"
"Jul 15","3,4204","3,1031","3,4350","3,0928","10,26%"
"Jun 15","3,1020","3,1795","3,2143","3,0296","-2,42%"
"Mai 15","3,1788","3,0152","3,1965","2,9702","5,47%"
"Abr 15","3,0140","3,1951","3,1951","2,8816","-5,66%"
"Mar 15","3,1947","2,8390","3,3163","2,8390","12,57%"
"Fev 15","2,8380","2,6824","2,9207","2,6658","5,84%"
"Jan 15","2,6814","2,6575","2,7310","2,5494","0,92%"
"Dez 14","2,6570","2,5659","2,7607","2,5436","3,58%"
"Nov 14","2,5651","2,4783","2,6295","2,4536","3,52%"
"Out 14","2,4779","2,4444","2,5603","2,3561","1,35%"
"Set 14","2,4449","2,2362","2,4785","2,2253","9,37%"
"Ago 14","2,2355","2,2635","2,3077","2,2329","-1,23%"
"Jul 14","2,2634","2,2146","2,2750","2,1988","2,25%"
"Jun 14","2,2137","2,2415","2,2918","2,1869","-1,19%"
"Mai 14","2,2403","2,2338","2,2494","2,1995","0,37%"
"Abr 14","2,2320","2,2721","2,2889","2,1814","-1,73%"
"Mar 14","2,2714","2,3384","2,3765","2,2478","-2,85%"
"Fev 14","2,3381","2,4127","2,4406","2,3182","-3,07%"
"Jan 14","2,4122","2,3781","2,4508","2,3276","2,13%"
"Dez 13","2,3618","2,3363","2,3960","2,3044","1,13%"
"Nov 13","2,3355","2,2350","2,3489","2,2350","4,31%"
"Out 13","2,2390","2,2163","2,2413","2,1467","1,06%"
"Set 13","2,2156","2,3826","2,4042","2,1793","-7,14%"
"Ago 13","2,3859","2,2764","2,4553","2,2627","4,81%"
"Jul 13","2,2764","2,2290","2,3031","2,2067","2,01%"
"Jun 13","2,2315","2,1439","2,2777","2,0840","4,19%"
"Mai 13","2,1418","2,0015","2,1512","1,9945","7,04%"
"Abr 13","2,0010","2,0186","2,0300","1,9633","-1,11%"
"Mar 13","2,0235","1,9760","2,0275","1,9414","2,22%"
"Fev 13","1,9795","1,9908","1,9974","1,9493","-0,54%"
"Jan 13","1,9902","2,0333","2,0508","1,9813","-2,80%"
"Dez 12","2,0475","2,1361","2,1388","2,0387","-4,10%"
"Nov 12","2,1350","2,0310","2,1373","2,0296","5,14%"
"Out 12","2,0306","2,0289","2,0445","2,0157","0,25%"
"Set 12","2,0255","2,0304","2,0454","2,0066","-0,12%"
"Ago 12","2,0280","2,0568","2,0570","2,0056","-1,38%"
"Jul 12","2,0563","2,0062","2,0570","1,9779","2,34%"
"Jun 12","2,0092","2,0226","2,0995","2,0045","-0,64%"
"Mai 12","2,0221","1,9044","2,1065","1,9044","5,98%"
"Abr 12","1,9080","1,8511","1,9118","1,8158","4,51%"
"Mar 12","1,8257","1,7167","1,8374","1,7095","6,35%"
"Fev 12","1,7167","1,7490","1,7494","1,6870","-1,70%"
"Jan 12","1,7463","1,8656","1,8751","1,7316","-6,25%"
"Dez 11","1,8627","1,8078","1,8884","1,7757","3,04%"
"Nov 11","1,8078","1,7167","1,9143","1,7130","5,31%"
"Out 11","1,7167","1,8772","1,9180","1,6710","-8,61%"
"Set 11","1,8785","1,5887","1,9499","1,5887","18,24%"
"Ago 11","1,5887","1,5496","1,6585","1,5450","2,60%"
"Jul 11","1,5485","1,5616","1,5856","1,5280","-0,85%"
"Jun 11","1,5617","1,5783","1,6163","1,5573","-1,13%"
"Mai 11","1,5795","1,5765","1,6458","1,5688","0,19%"
"Abr 11","1,5765","1,6308","1,6308","1,5562","-3,37%"
"Mar 11","1,6315","1,6635","1,6931","1,6207","-1,92%"
"Fev 11","1,6635","1,6669","1,6862","1,6554","-0,21%"
"Jan 11","1,6670","1,6593","1,6965","1,6432","0,46%"
"Dez 10","1,6593","1,7135","1,7220","1,6593","-3,22%"
"Nov 10","1,7145","1,7007","1,7427","1,6685","0,81%"
"Out 10","1,7007","1,6871","1,7254","1,6432","0,81%"
"Set 10","1,6871","1,7544","1,7629","1,6858","-3,86%"
"Ago 10","1,7548","1,7538","1,7835","1,7435","0,05%"
"Jul 10","1,7540","1,8052","1,8138","1,7495","-2,77%"
"Jun 10","1,8039","1,8195","1,8823","1,7488","-0,88%"
"Mai 10","1,8200","1,7372","1,9160","1,7252","4,75%"
"Abr 10","1,7375","1,7832","1,7932","1,7225","-2,58%"
"Mar 10","1,7836","1,8058","1,8302","1,7563","-1,31%"
"Fev 10","1,8072","1,8684","1,8980","1,7874","-4,13%"
"Jan 10","1,8850","1,7291","1,8971","1,7138","8,15%"
"Dez 09","1,7430","1,7497","1,8011","1,6995","-0,71%"
"Nov 09","1,7555","1,7635","1,7805","1,6930","-0,45%"
"Out 09","1,7635","1,7720","1,8074","1,6970","-0,45%"
"Set 09","1,7715","1,8791","1,9218","1,7589","-5,78%"
"Ago 09","1,8802","1,8655","1,9053","1,8071","0,82%"
"Jul 09","1,8650","1,9525","2,0280","1,8610","-4,48%"
"Jun 09","1,9525","1,9715","2,0383","1,9083","-0,96%"
"Mai 09","1,9715","2,1898","2,1898","1,9650","-9,97%"
"Abr 09","2,1898","2,3170","2,3175","2,1585","-5,49%"
"Mar 09","2,3169","2,3906","2,4505","2,2151","-3,12%"
"Fev 09","2,3914","2,3222","2,4085","2,2277","3,08%"
"Jan 09","2,3200","2,3317","2,4010","2,1585","0,24%"
"Dez 08","2,3145","2,3045","2,6218","2,2834","0,48%"
"Nov 08","2,3035","2,1648","2,4787","2,0878","6,44%"
"Out 08","2,1642","1,9035","2,5305","1,8951","13,51%"
"Set 08","1,9066","1,6422","1,9687","1,6398","16,97%"
"Ago 08","1,6300","1,5610","1,6493","1,5551","4,02%"
"Jul 08","1,5670","1,6039","1,6211","1,5603","-2,31%"
"Jun 08","1,6041","1,6260","1,6522","1,5880","-1,38%"
"Mai 08","1,6265","1,6617","1,7055","1,6241","-2,15%"
"Abr 08","1,6622","1,7559","1,7605","1,6471","-5,36%"
"Mar 08","1,7564","1,6910","1,7651","1,6590","3,84%"
"Fev 08","1,6914","1,7590","1,7820","1,6612","-3,83%"
"Jan 08","1,7588","1,7795","1,8407","1,7285","-1,19%"
"Dez 07","1,7800","1,7901","1,8320","1,7500","-1,01%"
"Nov 07","1,7982","1,7368","1,8723","1,7247","3,54%"
"Out 07","1,7368","1,8325","1,8480","1,7292","-5,25%"
"Set 07","1,8330","1,9610","1,9765","1,8300","-6,86%"
"Ago 07","1,9681","1,8823","2,1396","1,8655","4,57%"
"Jul 07","1,8820","1,9260","1,9440","1,8365","-2,44%"
"Jun 07","1,9290","1,9287","1,9910","1,8945","0,44%"
"Mai 07","1,9205","2,0350","2,0365","1,9165","-5,62%"
"Abr 07","2,0348","2,0600","2,0600","2,0130","-1,18%"
"Mar 07","2,0590","2,1175","2,1520","2,0247","-2,90%"
"Fev 07","2,1204","2,1238","2,1500","2,0638","-0,17%"
"Jan 07","2,1240","2,1367","2,1627","2,1212","-0,59%"
"Dez 06","2,1365","2,1645","2,1745","2,1302","-1,32%"
"Nov 06","2,1650","2,1430","2,2040","2,1307","1,04%"
"Out 06","2,1428","2,1680","2,1800","2,1220","-1,45%"
"Set 06","2,1743","2,1520","2,2370","2,1217","1,44%"
"Ago 06","2,1434","2,1756","2,1985","2,1215","-1,57%"
"Jul 06","2,1775","2,1605","2,2256","2,1545","0,54%"
"Jun 06","2,1659","2,3215","2,3355","2,1535","-6,04%"
"Mai 06","2,3051","2,0870","2,4045","2,0500","10,45%"
"Abr 06","2,0870","2,1658","2,1765","2,0830","-3,56%"
"Mar 06","2,1640","2,1315","2,2458","2,0965","1,91%"
"Fev 06","2,1235","2,2120","2,2405","2,1015","-4,00%"
"Jan 06","2,2120","2,3335","2,3540","2,1960","-5,40%"
"Dez 05","2,3383","2,2039","2,4005","2,1585","6,12%"
"Nov 05","2,2035","2,2505","2,2685","2,1525","-2,14%"
"Out 05","2,2518","2,2355","2,3045","2,2215","1,09%"
"Set 05","2,2275","2,3550","2,3735","2,2060","-5,43%"
"Ago 05","2,3555","2,3850","2,4590","2,2629","-1,03%"
"Jul 05","2,3800","2,3364","2,5127","2,3210","1,87%"
"Jun 05","2,3364","2,3992","2,5060","2,3310","-3,03%"
"Mai 05","2,4095","2,5282","2,5300","2,3630","-4,70%"
"Abr 05","2,5282","2,6660","2,6775","2,5060","-5,66%"
"Mar 05","2,6800","2,5980","2,7858","2,5870","3,49%"
"Fev 05","2,5895","2,6085","2,6525","2,5490","-0,74%"
"Jan 05","2,6088","2,6610","2,7340","2,6055","-1,78%"
"Dez 04","2,6560","2,7170","2,8050","2,6460","-2,35%"
"Nov 04","2,7200","2,8580","2,8730","2,7140","-4,87%"
"Out 04","2,8592","2,8600","2,8950","2,8050","-0,01%"
"Set 04","2,8595","2,9295","2,9435","2,8465","-2,31%"
"Ago 04","2,9270","3,0360","3,0780","2,9220","-3,64%"
"Jul 04","3,0375","3,0865","3,0875","2,9885","-1,57%"
"Jun 04","3,0860","3,1850","3,1710","3,0860","-3,23%"
"Mai 04","3,1890","2,9330","3,2340","2,9420","8,80%"
"Abr 04","2,9310","2,8920","2,9690","2,8670","1,21%"
"Mar 04","2,8960","2,9020","2,9470","2,8580","-0,34%"
"Fev 04","2,9060","2,9270","3,0110","2,8950","-0,97%"
"Jan 04","2,9345","2,8975","2,9730","2,7665","1,49%"
"Dez 03","2,8915","2,9425","2,9525","2,8525","-1,87%"
"Nov 03","2,9465","2,8675","2,9725","2,8445","2,79%"
"Out 03","2,8665","2,8915","2,9195","2,8155","-0,90%"
"Set 03","2,8925","2,9815","3,0005","2,8615","-2,89%"
"Ago 03","2,9785","2,9625","3,0695","2,9355","0,37%"
"Jul 03","2,9675","2,8415","2,9875","2,8025","4,60%"
"Jun 03","2,8370","2,9650","2,9940","2,8000","-4,59%"
"Mai 03","2,9735","2,9115","3,0875","2,8435","2,15%"
"Abr 03","2,9110","3,3650","3,3650","2,8710","-13,47%"
"Mar 03","3,3640","3,5660","3,5850","3,3230","-5,77%"
"Fev 03","3,5700","3,5020","3,6830","3,4500","1,88%"
"Jan 03","3,5040","3,5380","3,6910","3,2380","-1,02%"
"Dez 02","3,5400","3,5550","3,8260","3,4050","-3,09%"
"Nov 02","3,6530","3,6200","3,7330","3,4650","0,08%"
"Out 02","3,6500","3,7440","4,0190","3,5190","-2,93%"
"Set 02","3,7600","3,0100","3,9540","3,0050","25,02%"
"Ago 02","3,0075","3,4525","3,4525","2,8525","-13,08%"
"Jul 02","3,4600","2,8380","3,6260","2,8100","22,80%"
"Jun 02","2,8175","2,5195","2,8915","2,5125","11,89%"
"Mai 02","2,5180","2,3610","2,5520","2,3610","6,65%"
"Abr 02","2,3610","2,3260","2,3770","2,2520","1,55%"
"Mar 02","2,3250","2,3640","2,3860","2,3140","-1,69%"
"Fev 02","2,3650","2,4120","2,4930","2,3360","-1,99%"
"Jan 02","2,4130","2,3110","2,4700","2,2770","4,41%"
"Dez 01","2,3110","2,4940","2,4960","2,2740","-7,37%"
"Nov 01","2,4950","2,6720","2,6720","2,4480","-7,46%"
"Out 01","2,6960","2,6940","2,8070","2,6590","0,97%"
"Set 01","2,6700","2,5653","2,8400","2,5480","4,13%"
"Ago 01","2,5640","2,4790","2,5830","2,4380","3,68%"
"Jul 01","2,4730","2,3180","2,6080","2,3090","7,03%"
"Jun 01","2,3105","2,3795","2,4845","2,2665","-2,96%"
"Mai 01","2,3810","2,2000","2,3860","2,1920","8,18%"